,Name,Prep Time,Cook Time,Total Time,Ingredient,Number of Ingredient,Method,Number of cooking step
514,"Make-Ahead Frittata Squares with Spinach, Tomatoes, and Feta Recipe",15,45,60,"['Butter (for the baking dish)', '2 tablespoons olive oil', '1 pint cherry tomatoes', '1 bunch scallions, thinly sliced', '5 ounces (about 3 1/2 packed cups) baby spinach leaves', '1/2 cup whole milk', '1/2 cup sour cream', '12 large eggs', '3/4 teaspoon salt, divided', '1/8 teaspoon freshly ground black pepper', '1 cup (about 5 ounces) crumbled feta cheese', '3 tablespoons chopped fresh parsley', 'Special equipment:', '2-quart glass or ceramic baking dish (8x8 square or 7x11 rectangular)']",14,"['1 Preheat the oven to 350F. Butter a 2-quart baking dish.', '2 Cook the vegetables: In a large skillet over medium heat, heat the olive oil. Add the tomatoes and cook, stirring often, for 2 minutes, or until just starting to soften but not yet falling apart. Transfer to a separate dish and set aside.', 'Add the the scallions to the pan and cook for about 1 minute, or until softened. Stir in the spinach and 1/4 teaspoon of salt. Cook, stirring often, until the spinach wilts. Remove the pan from the heat and cool for a few minutes.', 'Stir in the crumbled feta cheese.', '3 Whisk egg mixture: In a large bowl, gradually whisk the milk into the sour cream until smooth. Whisk in the eggs, 1/2 teaspoon of salt and pepper.', '5 Assemble and bake the frittata: Transfer the spinach filling from the pan into the baking dish and pour the egg mixture over top. Scatter the tomatoes on top of the eggs so they peek out, and sprinkle with the parsley.', 'Bake for 40 to 45 minutes, or until the eggs are set. You can check with a paring knife inserted in the middle; the eggs should be set and no longer be runny.', '6 Serve: Cool the frittata for at least 10 minutes, and cut into 9 servings. Store leftovers in the refrigerator for up to a week, and reheat in the microwave.']",8
515,"Spaghetti with Tomatoes, Bacon, and Eggs Recipe",5,15,20,"['2 tablespoons white vinegar, for poaching the eggs', '12 ounces (3/4 box) spaghetti', '6 slices (about 5 ounces) thick cut bacon, cut into 1/2-inch dice', '2 cloves garlic, thinly sliced', '7 to 8 (12 ounces) small (1 1/2-inch) tomatoes, quartered', '4 large eggs', '1/2 cup freshly grated Parmesan', '1/2 cup packed basil leaves, torn into pieces', 'Freshly ground black pepper, to taste', 'Olive oil, for garnish']",10,"['1 Bring two pans of water to a boil: For the pasta, bring a large pot of salted water to a boil (at least 4 quarts of water and 2 tablespoons of salt). For the eggs, fill a wide saucepan with 2 inches of salted water and bring to a boil. Add the vinegar to the saucepan for the eggs.', '2 Cook the bacon, garlic, and tomatoes while the water heats: In a large (12-inch) skillet over medium-high heat, cook the bacon until browned. Transfer to plate.', 'Add the garlic and the tomatoes, and cook, stirring often, for 2 minutes, or just until the garlic turns pale golden and the tomatoes soften slightly. Remove the pan from the heat.', '3 Cook the spaghetti: Add the spaghetti to the large pot of boiling water, and cook for 8 to 9 minutes, or until al dente. Remove 1 cup of the pasta water with a measuring cup.', '4 Poach the eggs while the pasta cooks: Line a tray or plate with a paper towel. Adjust the heat under the saucepan so that the poaching water barely simmers.', 'Crack 1 egg into a small bowl or cup and, holding the rim as close to the surface of the water as possible, drop the egg into the water.', 'Rapidly repeat with the remaining eggs.', 'Drag a wooden spoon around the edge of the pot to stir the water and gently release the eggs from the bottom.', 'After 2 minutes, lift 1 egg from the water with a slotted spoon and test for doneness by pressing on the egg. The white should feel firm and the yolk should still be soft. Return to the water if necessary to complete the cooking. With a slotted spoon, transfer the eggs to the paper towel lined plate to drain the water.', '5 Assemble the pasta: Set the skillet with the garlic and tomatoes back over low heat. With tongs, add the cooked spaghetti. Add the cooked bacon, Parmesan, basil, salt, and pepper and toss together. If the spaghetti looks dry, add some of the reserved pasta water a few tablespoons at a time.', '6 To serve: Divide the spaghetti among 4 plates or shallow bowls and top each with a poached egg. Drizzle with olive oil and sprinkle with freshly ground pepper, if you like.']",11
516,Mixed Berry Chia Seed Jam Recipe,5,12,17,"['1 cup blueberries', '3/4 cup chopped strawberries (stems removed)', '3/4 cup raspberries', '2 tablespoons sugar, plus more to taste', '2 tablespoons lemon juice (from about 1/2 a lemon), plus more to taste', '1 1/2 tablespoons chia seeds']",6,"['1 Combine the blueberries, strawberries, raspberries, sugar, and lemon juice in a medium saucepan. Give everything a quick stir to distribute the sugar.', '2 Cook the fruits over medium heat for about 10 to 12 minutes, stirring occasionally, until the fruit breaks down. The fruit should look like a syrupy, runny sauce. (If you want a smooth jam without chunks, use the back of a wooden spoon or a fork to mash large chunks of fruit.', '3 Remove the saucepan from heat. Mix in the chia seeds and let the jam sit for 10 minutes to thicken. Taste and add additional sugar or lemon juice to taste.', '4 Cool to room temperature, then transfer to a jar and refrigerate. The jam will continue to thicken in the refrigerator. Store for up to 3 to 4 weeks.']",4
517,Grilled BBQ Chicken Sandwiches Recipe,10,20,30,"['Pickle Slaw:', '1/2 cup mayonnaise', '1/4 cup dill pickle juice', '1 tablespoon sugar', '1/2 green cabbage, thin shredded (about 4 cups)', '2 medium carrots, grated (about 1 cup)', '1/4 cup chopped dill pickles', 'Chicken Filling:', '2 pounds boneless skinless chicken breasts, butterflied', '2 tablespoons olive oil', '1/2 teaspoon kosher salt', '1/2 teaspoon black pepper', '1 \\xe2\\x80\\x93 1 1/2 cups Hank\\xe2\\x80\\x99s Kansas City BBQ Sauce or store-bought', '8 hamburger buns', 'DAD ADD! Serrano Mayo:', '2-3 grilled serrano peppers, seeds removed', '1 cup mayonnaise', 'Juice from 1/2 lime', 'Pinch of salt']",19,"['1 Make the slaw: Whisk together mayo, pickle juice, and sugar. Stir in shredded cabbage, carrots, and pickles. Stir together and taste. Season to your liking. Slaw can be made a day or two in advance with no problem.', '', '2 Heat the grill and prepare the chicken: Preheat grill to medium-high heat. To butterfly the chicken, use a sharp knife to slice the chicken horizontally \\xe2\\x80\\x93 leaving the edge connected so you can open the chicken breast \\xe2\\x80\\x93 making it thinner and therefore faster-cooking. Then drizzle with olive oil, salt, and pepper.', 'Pour 1/2 cup of BBQ sauce into a bowl and set it aside. You will add it to the cooked chicken later.', '3 Grill the chicken and chiles (if using): Add chicken to grill and spoon BBQ sauce over each piece of chicken. You will use 1/3 to 1/2 cup of BBQ sauce for this part of cooking.', 'Grill for 5 to 6 minutes on the first side. Flip and add BBQ sauce to the second side. Grill for another 5 to 6 minutes on the second side or until the chicken breasts reach 165\\xcb\\x9aF. Remove from the grill.', 'As the chicken grills, add 2 to 3 serrano peppers to the grill. Grill them for 2 to 3 minutes per side. Remove and let cool.', 'NOTE: If you do not butterfly your chicken breasts, you will need to grill them for 8 to 10 minutes longer than this.', '4 Shred the chicken: When chicken comes off the grill, let it cool briefly and then use two forks to shred or roughly chop the chicken. Stir the 1/2 cup of BBQ sauce you set aside in step 1 into the shredded chicken.', '5 Making the serrano mayo: Split grilled peppers in half and remove seeds. Add to a small food processor with mayo, lime juice, and salt. Pulse until combined.', '6 Make your sandwich: Toast your sandwich buns (if you want to) and smear with serrano mayo if you\\xe2\\x80\\x99re using it. Top with a heap of pickle slaw and shredded BBQ chicken. Serve with chips and pickles on the side.', 'Leftover chicken will keep in the fridge for 3 to 4 days or freeze in an airtight container for up to three months.']",12
518,Instant Pot Paella with Chicken and Sausage Recipe,10,40,50,"['1 1/2 cups low sodium chicken broth', 'Big pinch of saffron threads (roughly equal to 1/4 teaspoon)', '1 cup frozen peas', '1 tablespoon olive oil', '3 cloves garlic, chopped', '1 medium yellow onion, chopped', '1 red bell pepper, chopped', '1 pound (3 to 4) boneless skinless chicken thighs, cut into 1 inch pieces', '6 ounces (about 2 links) chorizo or other spicy sausage, sliced', '1 teaspoon smoked paprika', '1 teaspoon salt', '1 1/2 cups (325 grams) short or medium grain rice', '2 tablespoons chopped parsley', 'Special equipment:', '6-quart Instant Pot or other electric pressure cooker']",15,"['1 Heat the saffron with the chicken broth and defrost the peas: In a small saucepan, heat the broth to a simmer, then and add the peas and saffron. Reduce the heat to low to keep the broth warm and give the saffron a chance to infuse the broth while you get everything else ready.', '(You can also heat the broth in a microwave safe bowl or liquid measuring cup for about three minutes. Add the peas and saffron after microwaving and cover to keep warm until needed.)', '2 Cook the vegetables, chicken, and sausage in the pressure cooker: Select the \\xe2\\x80\\x9cSaut\\xc3\\xa9\\xe2\\x80\\x9d setting on your electric pressure cooker and add the oil and garlic. Saut\\xc3\\xa9 until little bubbles of oil form around the garlic and it becomes aromatic, 1 to 2 minutes.', 'Stir in the onion and bell pepper. Saut\\xc3\\xa9 until they have softened a little bit, 3 to 4 more minutes. Stir in the paprika and salt, and saut\\xc3\\xa9 for one more minute.', ""Add the chicken and sausage and stir to combine. Saut\\xc3\\xa9 for 5 to 6 minutes, until the chicken has turned opaque. It\\'s ok if the chicken is still a little pink in the middle."", ""3 Scrape the bottom of the pan: Add a splash of the hot broth to the pan and use it to scrape up any browned bits that have developed on the bottom of the pan. These browned bits add a lot of flavor to the dish, so don\\'t skip this step. (This also helps prevent the dish from burning on the bottom during cooking!)"", '4 Add the remaining ingredients and the broth: Stir in the rice, then pour in the rest of the hot broth with the peas and saffron. Push down any grains of rice from the sides of the pot, making sure that everything is submerged in the cooking liquid.', '5 Pressure cook the paella: Secure the lid on the pressure cooker, and make sure the pressure regulator is in its \\xe2\\x80\\x9cSealing\\xe2\\x80\\x9d position. Cancel the \\xe2\\x80\\x9cSaut\\xc3\\xa9\\xe2\\x80\\x9d cooking program, then select the \\xe2\\x80\\x9cManual\\xe2\\x80\\x9d or \\xe2\\x80\\x9cPressure Cook\\xe2\\x80\\x9d program and set the cooking time to 5 minutes at high pressure.', 'The pot will take 5 to 10 minutes to come up to pressure, and then the cooking program will begin counting down.', '6 Release the pressure: When the cooking program ends, let the pressure release naturally for 10 minutes, then release the remaining pressure by moving the pressure regulator to its \\xe2\\x80\\x9cVenting\\xe2\\x80\\x9d position.', '7 Serve: When the pressure has fully released, open the pot. Scoop onto plates, garnish with chopped parsley, and serve it piping hot. Leftovers will keep for about a week.', 'You may get a crust of dark caramelization and crunchy rice at the bottom of the pan -- this is ok! This is called ""socarrat"" and is traditional for paella. Just mix it in and enjoy!']",12
519,Tandoori Chicken Recipe,15,400,415,"['3 Tbsp vegetable oil', '1 teaspoon ground coriander', '1 teaspoon ground cumin', '1 teaspoon ground turmeric', '1 teaspoon cayenne', '1 Tbsp garam masala', '1 Tbsp sweet (not hot) paprika', '1 cup plain yogurt (can sub buttermilk)', '2 Tbsp lemon juice', '4 minced garlic cloves', '2 Tbsp minced fresh ginger', '1 teaspoon salt', '4 whole chicken legs (drumsticks and thighs), or its equivalent, skinless, bone-in']",13,"['1 Heat the spices in oil: Heat the oil in a small pan over medium heat, then cook the coriander, cumin, turmeric, cayenne, garam masala and paprika, stirring often, until fragrant (approximately 2-3 minutes). Let cool completely.', '2 Whisk spices into yogurt, add lemon juice, garlic, salt, ginger: Whisk the cooled spice-oil mixture into the yogurt, then mix in the lemon juice, garlic, salt and ginger.', '3 Cut deep slashes into chicken, coat with marinade, chill: Cut deep slashes (to the bone) in 3-4 places on the leg/thigh pieces. Just make 2-3 cuts if you are using separate drumsticks and thighs. Coat the chicken in the marinade, cover and chill for at least an hour (preferably 6 hours), no more than 8 hours.', '4 Prepare grill: Prepare your grill so that one side is quite hot over direct heat, the other side cooler, not over direct heat. If using charcoal, leave one side of the grill without coals, so you have a hot side and a cooler side. If you are using a gas grill, just turn on one-half of the burners.', 'Use tongs to wipe the grill grates with a paper towel soaked in vegetable oil.', '5 Shake off excess marinade, place chicken on hot side of grill: Take the chicken out of the marinade and shake off the excess. You want the chicken coated, but not gloppy.', 'Put the chicken pieces on the hot side of the grill and cover. Cook 2-3 minutes before checking.', 'Turn the chicken so it is brown (even a little bit charred) on all sides', '6 Move to cool side of grill, cover and cook: Move chicken to the cool side of the grill. Cover and cook for at least 20 minutes, up to 40 minutes (or longer) depending on the size of the chicken and the temperature of the grill. The chicken is done when its juices run clear.', 'Let it rest for at least 5 minutes before serving. It\\xe2\\x80\\x99s also great at room temperature or even cold the next day.', 'Serve with naan, and Indian flatbread, or with Indian style rice, with yogurt-based raita on the side.']",11
520,Pressure Cooker White Chicken Chili Recipe,10,45,55,"['2 tablespoons olive oil', '4 cloves garlic, minced', '1 large green bell pepper, seeded and chopped', '2 jalapen\\xcc\\x83o peppers, seeded and chopped (leave the seeds in if you like it spicy)', '3 celery stalks, chopped', '1 medium yellow onion, chopped', '2 teaspoons ground cumin', '2 teaspoons dried oregano', '1 teaspoon ground coriander', '1/4 teaspoon cayenne pepper (optional)', '2 teaspoons salt', '2 (15-ounce) cans cannellini beans, rinsed and drained (or 3 cups homemade beans)', '1 1/2 pounds boneless, skinless chicken breasts, tenders, or thighs', '1 cup chicken broth', '1 cup sour cream', '1/2 cup chopped fresh cilantro', 'Special equipment:', '6-quart electric pressure cooker, like the Instant Pot']",18,"['1 Saut\\xc3\\xa9 the garlic and vegetables: Select the saut\\xc3\\xa9 setting on your pressure cooker and heat the olive oil and garlic for 2 minutes, until the garlic is bubbling.', 'Add the bell pepper, jalapen\\xcc\\x83os, celery, and onion, and saute\\xcc\\x81 for about 5 minutes, until the vegetables are softened.', '2 Add the spices, beans, and chicken: Add the cumin, oregano, coriander, cayenne, and salt and saute\\xcc\\x81 for about 1 minute more, until aromatic.', 'Pour the beans over the vegetables, layer the chicken pieces on top, and pour in the broth. Do not stir. ', '3 Pressure cook the chicken: Secure the lid on your pressure cooker in its sealing position. Cancel the saut\\xc3\\xa9 program, then select the manual setting and set the cooking time for 15 minutes at high pressure. (The pot will take about 10 minutes to come up to pressure before the cooking program begins.) ', '4 Release the pressure: Perform a quick pressure release by moving the pressure cooker\\xe2\\x80\\x99s lid to its vented position, or let the pressure release naturally.', 'At this point, you can also leave the chili on your pressure cooker\\xe2\\x80\\x99s Keep Warm setting for up to 10 hours, then continue with the recipe when you\\xe2\\x80\\x99re ready to serve.', ' 5 Shred and season the chicken: When the pressure has fully released, open the pot and use a pair of tongs to remove the chicken to a carving board or dish. Using a pair of forks, break up the chicken into shreds.', 'Add the shredded chicken back to the pot along with the sour cream and cilantro and stir to combine. Taste for seasoning and add more salt if needed.', '6 Serve the chili: Ladle the chili into bowls. Serve hot, with tortillas or cornbread on the side.']",10
521,Air Fryer Fried Chicken Recipe,15,105,120,"['For the chicken: ', '1 4-pound fryer chicken, cut into 10 pieces (2 breasts cut in half, 2 wings, 2 legs, 2 thighs)', '1 teaspoon kosher salt', '1 teaspoon ground black pepper', '2 cups buttermilk', 'For the coating:', '2 cups all-purpose flour', '1 tablespoon seasoned salt', '1 teaspoon kosher salt', '1 teaspoon ground black pepper', '1 tablespoon garlic powder', '1 tablespoon paprika', 'Spray olive oil for cooking', 'Special equipment:', 'Krups Air Fryer', 'Thermapen Instant Read Thermometer']",16,"['During the air frying process, if you pull out the chicken and notice any dry flour spots on the chicken, spray those spots lightly with oil. The breading will never crisp up if it doesn\\xe2\\x80\\x99t have a tiny bit of oil to hydrate it. It will just burn.', '4 Serve: When the fried chicken is ready, let it rest on a plate for a few minutes before serving. Serve immediately with salad, coleslaw, mashed potatoes, or your favorite fried chicken sides!', 'Cooked fried chicken can be stored in the fridge for 5 days and reheated in a 300\\xc2\\xb0F oven for 8 to 10 minutes.']",3
522,Char Siu Chicken Recipe,5,60,65,"['1 large garlic clove, put through a garlic press or minced and mashed', '1/4 teaspoon Chinese five-spice powder', '2 tablespoons honey, preferably amber colored', 'Brimming 2 tablespoons hoisin sauce', '1 1/2 tablespoons soy sauce', '1 tablespoon ketchup', 'Scant 2 teaspoons toasted sesame oil', '1 3/4 pounds boneless, skinless chicken thighs (See Recipe Note)', 'Special equipment:', 'Cast iron grill pan or grill']",10,"['1 Marinate the chicken: In a large bowl, stir together the garlic, five-spice powder, honey, hoisin, soy sauce, ketchup, and sesame oil. Remove 3 tablespoons and set aside for glazing the chicken.', 'Add the chicken to the bowl, coating the pieces well. Cover with plastic wrap and marinate at room temperature for 30 minutes, or refrigerate up to 24 hours (return to room temperature before cooking).', '2 Grill the chicken: Lightly oil a cast-iron stovetop grill pan and set over medium-high heat. Add the chicken and cook for 6 to 10 minutes, turning several times.', 'To test for doneness, pierce the flesh with the tip of a knife: The chicken is cooked when clear juices flow out.', 'During the last 2 minutes of cooking, when the chicken feels firm-ish, baste with the reserved marinade to freshen flavor and add sheen.', 'Alternatively, prepare a medium charcoal fire or preheat a gas grill to medium and cook the chicken for 10 to 12 minutes, basting during the last 3 minutes.', '3 Serve: Transfer to a platter and let rest for 5 to 10 minutes before serving.']",7
523,Quick Chicken Pho Recipe,10,30,40,"['3/4-inch (2 cm) section ginger', '2 medium-large green onions', '1 very small (.5 oz | 15 g) bunch cilantro sprigs', '1 1/2 teaspoons coriander seeds', '1 whole clove', '3 1/2 to 4 cups (840 ml to 1 l) low-sodium chicken broth', '2 cups (480 ml) water', '6 to 8 ounces (180 to 225 g) boneless, skinless chicken breast or thighs', 'About 1/2 teaspoon fine sea salt', '5 ounces (150 g) dried narrow flat rice noodles', '2 to 3 teaspoons fish sauce', 'About 1/2 teaspoon organic sugar, or 1 teaspoon maple syrup (optional)', 'Pepper (optional)', 'Optional extras: Bean sprouts, mint sprigs, Thai basil, cilantro leaves, lime wedges, thinly-sliced chili peppers']",14,"['1 Prepare the broth ingredients: Peel then slice the ginger into 4 or 5 coins. Smack with the flat side of a knife or meat mallet; set aside. Thinly slice the green parts of the green onion to yield 2 to 3 tablespoons; set aside for garnish. Cut the leftover sections into pinkie-finger lengths, bruise, then add to the ginger.', 'Coarsely chop the leafy tops of the cilantro to yield 2 tablespoons; set aside for garnish. Set the remaining cilantro sprigs aside.', '2 Toast the broth ingredients: In a 3- to 4-quart (3 to 4 l) pot, toast the coriander seeds and clove over medium heat until fragrant, 1 to 2 minutes. Add the ginger and green onion sections. Stir for about 30 seconds, until aromatic.', '3 Add the broth and bring to a simmer: Slide the pot off heat, wait 15 seconds or so to briefly cool, then pour in the broth.', 'Return the pot to the burner, then add the water, cilantro sprigs, chicken, and salt. Bring to a boil over high heat, then lower the heat to gently simmer.', '4 Remove the chicken from the broth once cooked: After 5 to 10 minutes of simmering, the chicken should be firm and cooked through (press on it and it should slightly yield).', '5 Continue to simmer the broth without the chicken for another 15 to 20 minutes (for a total of 30 minutes simmering time).', '6 Shred the chicken: Transfer the chicken to a bowl, flush with cold water to arrest the cooking, then drain. Let cool, then cut or shred into bite-size pieces. Cover loosely to prevent drying.', ""[Emma\\'s note: If the chicken isn\\'t quite cooked through when you begin to shred it, just split it into a few pieces and put it back in the broth for another few minutes until cooked through. The split pieces will quickly cook through.]"", '7 Soak the rice noodles in hot water until pliable and opaque. Drain, rinse, and set aside.', '8 Strain the broth: When the broth is done, pour it through a fine-mesh strainer positioned over a 2-quart (2-liter) pot; line the strainer with muslin for superclear broth. Discard the solids. You should have about 4 cups.', 'Season with fish sauce and sugar (or maple syrup), if needed, to create a strong savory-sweet note.', ""9 Finish the pho: Bring the strained broth to a boil over high heat. Put the noodles in a noodle strainer or mesh sieve and dunk in the hot broth to heat and soften, 5 to 60 seconds. Lift the noodles from the pot and divide between the 2 bowls. [Emma\\'s note: I didn\\'t find it necessary to soften my noodles any further. I just added them to the bowls and poured the hot broth over top. However, dunking them in the broth would make them more flavorful!]"", 'Lower the heat to keep the broth hot while you arrange the chicken on top of the noodles and garnish with the chopped green onion, cilantro, and a sprinkling of pepper. Taste and adjust the broth\\xe2\\x80\\x99s saltiness one last time. Return the broth to a boil and ladle into the bowls. Enjoy with any extras, if you like.', ""[Emma\\'s note: I just left the broth at a low simmer during this last step, rather than bringing it to a boil again. I thought it was plenty hot!]""]",15
524,Easy Chicken Parmesan Recipe,10,40,50,"['For the sauce:', ""1/2 large yellow onion, grated (don't cut onion in half, just grate half of a whole onion), about 3/4 cup of grated onion"", '1/4 cup extra virgin olive oil', '2 medium garlic cloves, minced', '1 (28-ounce) can crushed tomatoes', '1 teaspoon dried oregano', 'Pinch red pepper flakes', 'Pinch sugar', 'For the chicken:', '4 chicken breast cutlets (1 1/4 to 1 1/2 pounds)', 'Salt', '2 large eggs', '1 cup breadcrumbs, Panko or homemade', '1 cup freshly grated Parmesan cheese', '1/4 cup extra virgin olive oil', '2 tablespoons fresh basil leaves, thinly sliced', '8 ounces mozzarella cheese, sliced', 'To serve:', 'Cooked spaghetti, or sub rolls']",19,"['1 Start the sauce: Heat the olive oil in a saucepan on medium-high heat. Add the onions and saut\\xc3\\xa9 for 2 to 3 minutes. Add the minced garlic. Cook until fragrant, about a minute more.', 'Then add the crushed tomatoes, oregano, red pepper flakes, and sugar. Bring to a simmer; reduce the heat to maintain the simmer. Cook, uncovered while you prepare the chicken (about 10 to 12 minutes).', '2 Preheat oven to 400\\xc2\\xb0F.', '3 Pound cutlets thin: Place the chicken cutlets one at a time between two layers of plastic wrap or wax paper. Use a meat hammer, mallet, rolling pin, or even a heavy empty wine bottle to pound or roll the chicken pieces to an even thickness of 1/4 to 1/2-inch. Sprinkle salt on both sides of the cutlets.', '4 Prepare breadcrumbs and eggs for dredging: In a shallow bowl (large enough to dredge the cutlets), mix together the breadcrumbs, 1/2 cup Parmesan, and pinch of salt. In separate shallow bowl, whisk together the eggs.', '5 Dredge cutlets and brown them: Heat 1/4 cup olive oil in a large saut\\xc3\\xa9 pan on medium-high heat until the oil is shimmering (not smoking) and a piece of breading dropped into it sizzles.', 'Working one cutlet at a time, dip the chicken cutlet into the egg mixture and then into the breadcrumbs. Working in batches as to not crowd the pan, place the dredged cutlets into the pan.', 'Lower the heat to medium and gently fry the chicken cutlets until they are golden brown on each side, about 3 to 4 minutes per side.', '6 Prep the chicken for the oven: Spread enough tomato sauce to thickly coat the bottom of a 9x13 casserole pan or baking dish. Once the cutlets are browned on both sides, arrange them on top of the tomato sauce in the baking dish.', 'Spoon tomato sauce over each of the cutlets. Sprinkle the tops with sliced basil. Then lay slices of mozzarella over each cutlet and sprinkle with the remaining 1/2 cup of Parmesan cheese.', '7 Bake: Bake in the oven at 400\\xc2\\xb0F for 10 to 12 minutes, or until the mozzarella begins to brown.', '8 Serve: Serve with pasta and the remaining sauce, or in a large roll.']",12
525,Avgolemono Soup Recipe,10,25,35,"['2 tablespoons extra virgin olive oil', '1 cup chopped onion', '5 cups chicken stock, plus 1 cup water', '1/2 cup orzo or rice', '1 pound skinless chicken breast, diced', 'Salt', '3 tablespoons lemon juice', '3 eggs', 'Fresh parsley for garnish']",9,"['1 Saut\\xc3\\xa9 onions: Heat the olive oil in a medium pot and saut\\xc3\\xa9 the onions over medium-high heat until they are soft and translucent, 4-5 minutes.', '2 Cook orzo or rice: While the onions are cooking, bring another pot of salted water to a boil and add the orzo or rice.', '3 Add chicken stock to onions: When the onions are ready, add the chicken stock and water and bring to a bare simmer.', '4 Drain orzo or rice, add to stock and onions: When the orzo or rice is nearly done \\xe2\\x80\\x94 firm, but mostly cooked \\xe2\\x80\\x94 drain the boiling water and add the pasta or rice to the chicken broth.', '5 Add the diced chicken breast to the pot. Let this cook 5-8 minutes, then taste the soup for salt.', '6 Temper eggs: Beat the eggs in a bowl. Whisking constantly, add the lemon juice to the eggs. You will need to temper the eggs before you add the egg-lemon mixture to the soup. It takes both hands to do this.', ""With one hand, whisk the egg-lemon mixture vigorously. With the other, slowly pour in a ladle's worth of hot broth."", ""Do this at least twice, and you can add as many ladle's worth of broth as you want to the mixture."", '7 Whisk tempered eggs into soup and serve: Turn the heat off the soup. Whisk the soup with one hand while you pour the hot egg-lemon mixture in with the other.', 'Serve at once, garnished with parsley.']",10
526,"How to Poach Chicken, the Quick and Easy Way",0,15,15,"['1 to 4 boneless, skinless chicken breasts (roughly 12 ounces each)', '1 teaspoon salt', 'Optional seasonings: smashed garlic, bay leaf, peppercorns, sliced ginger, sliced lemons or oranges, sliced onions or celery, fresh rosemary, fresh thyme']",3,"[""1 Place the chicken in a single layer in the bottom of a pan. It's ok if the pieces overlap a little."", ""2 Cover with an inch of water. Add the salt and any seasonings you'd like to use."", ""3 Bring to a boil over medium-high heat. As the water comes to a boil, foam will start to collect on the surface. If you're planning to use the cooking liquid for something else, you can skim the foam off the surface. Otherwise, it's fine to just leave it."", ""4 Cover and simmer for 8 to 15 minutes: Once boiling, reduce the heat to low and cover the pan. Cook for 8 minutes, then begin checking the chicken to see if it's done. Thin cutlets will cook in about 8 minutes; large chicken breasts will need up to 15 minutes."", ""The chicken is done when it registers 165F in the thickest part of the meat with an instant read thermometer. You can also cut into the chicken to see if it's cooked through. Continue cooking and checking the chicken every minute or so until the chicken is cooked."", '5 Cool briefly, then shred or slice: Remove the chicken from the broth and place on a plate or cutting board. When cool enough to handle, shred or slice the chicken, as needed. Use immediately, or cool completely and refrigerate for up to 5 days. Shredded or sliced chicken can also be frozen for up to 3 months.']",6
527,Creamy Dijon Mustard Chicken Recipe,15,20,35,"['1 to 1 1/4 pound boneless, skinless chicken breasts', 'Salt', '2 tablespoons extra virgin olive oil + more for lightly coating chicken', '1 tablespoon butter', '1 cup sliced shallots', '1/2 cup dry white wine (can sub chicken stock)', '1/2 cup water', '4 tablespoons Dijon mustard, smooth, whole grain, or a mixture of both', '1 teaspoon dried thyme', '1/4 cup heavy cream']",10,"['1 Cut chicken breasts and pound thin: Remove chicken breasts from package and sprinkle with salt. Remove the tenderloin from each breast and set aside. Cut each chicken breast into 3 pieces, approximately the same size. Coat with just a little olive oil.', 'Place the breast pieces between two pieces of plastic wrap or parchment paper and use a mallet, empty wine bottle, or rolling pin to pound the chicken pieces to an even thinness of about 1/4 inch. Repeat with the tenderloin pieces.', '2 Lightly brown the chicken cutlets: In a large, heavy-bottomed saut\\xc3\\xa9 pan, heat the olive oil on medium high to high heat. Stir in the butter. When the butter is foamy, add the chicken pieces to the pan. Do not crowd the pan, if necessary work in batches.', 'Lightly brown chicken on one side, turn over and brown the other side. Do not overcook the chicken. The pieces are thin and they will cook quickly. Remove the chicken pieces from the pan and set aside while you make the sauce.', '3 Cook the shallots: Add sliced shallots to the pan. Lower the heat to medium. Stir to coat with the remaining fat in the pan. Cook until softened, about 5 to 6 minutes.', '4 Make the sauce: Add white wine to the pan and increase the heat to high. When most of the wine has evaporated, add the water, the mustard, and the dried thyme. Simmer until reduced by half.', '5 Add chicken back to pan, drizzle in cream: Reduce the heat to low. Add the chicken back to the pan and coat with the sauce. Remove the pan from heat and drizzle in the cream. Taste and adjust seasonings, adding more salt if necessary.', '6 Serve: Serve with egg noodles, rice, mashed potatoes, pur\\xc3\\xa9ed celery root or parsnips, or serve alone or with vegetables for low carb version.']",8
528,Grilled Cilantro Lime Chicken Recipe,5,40,45,"['2 pounds skinless, boneless chicken breasts', '2 tablespoons extra virgin olive oil for the marinade, plus more for grilling', 'Grated zest from 2 limes', 'Juice from 2 limes (about 1/4 cup)', '3 tablespoons chopped cilantro', '1/2 teaspoon sugar', '1/2 teaspoon salt', '1/4 teaspoon black pepper', 'Lime wedges, fresh sprigs of cilantro, and slices of avocado, to serve']",9,"['1 Pound chicken breasts to even thickness: Place the chicken breasts between two piece of plastic wrap or wax paper and pound to an even thickness with a meat mallet or rolling pin.', '2 Marinate the chicken: Mix the olive oil, lime zest, lime juice, cilantro, sugar, salt, and pepper together in a large bowl. Add the chicken and massage the marinade into the chicken. Cover and chill for at least 30 minutes, and up to 4 hours or overnight.', '3 Preheat Grill: Preheat a gas or charcoal grill for medium-high heat grilling, or until you can hold your hand about an inch over the grates for 1 second.', '4 Grill the chicken: Remove the chicken breasts from the refrigerator. Remove them from the marinade and pat them dry with paper towels. Coat the chicken breasts with some olive oil.', 'Soak a paper towel in a little more oil and use tongs to wipe the grill grates.', 'When the grill is hot, place the chicken breasts on the grill. Grill for a few minutes on each side, until just cooked through.']",6
